# AGI CORPUS MANIFEST -- generated by harness/tools/game_manifest.py
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# Sizes are the ARCHIVE's own uncompressed figures, not our decode (§2O.1, §12).
# 'version' is by archive SHAPE; v3-shaped is a signal, not a decode.
# log/pic/view/snd slots are DERIVED as dirlen/3 and are an UPPER BOUND (unused
# slots are 0xFFFFFF and still occupy 3 bytes). Slots are not live resources.
#
name	sha256	version	zip_bytes	total_uncompressed	game_bytes	overlay_bytes	vol_bytes	dir_bytes	vols	members	log_slots	pic_slots	view_slots	snd_slots
0fb053	9e4788c31654fd474b432ddc20fa0a35f97505a8ff1cd93c819d7efb011178f6	v2	169363	2966578	2966578	0	2963400	654	10	16	47	46	113	12
13thdi	4c61502cb1090303508577061ba97fe46f24ca67fc1246f07b5e7010cdf31382	v2	121726	211657	203977	7680	195166	1620	1	8	205	91	244	0
2playd	2ca307c8361bed58b41ebf87802a12caf8ba73e1169c59e3467046df3fa1a515	v2	12757	25873	17681	8192	15919	975	1	8	100	4	221	0
abrah	ef71590b185ef2b05811b2d617f9d6e94dae12457476a04aea53bcadf95271dd	v2	134940	284183	275991	8192	270533	2244	1	11	252	251	245	0
acidop	ed8825032fd8d748dad4deed4febaa6717cafa805be3977407feb37a6250396a	v2	112682	587278	579086	8192	576047	1269	1	8	100	95	222	6
ag2562	f28afac27206dc1f27c2784310494ca626edea97bc25ea9487acfe967e064f8d	v2	30878	82714	74522	8192	72918	978	1	8	100	5	221	0
ag6vsn	e9158a082f1ffc3c41cf9c9f92894e1ada62bd3593e448dacba55ea14c100876	v2	85100	181041	172849	8192	169359	1752	1	8	100	255	229	0
agentq	0feeafbc329e05ebcbd05bf8b0f36a4636420b8bf909669e1dbc96da8af21c83	v2	15016	41267	41267	0	39557	1002	1	7	100	8	221	5
agi256	8ae73c5814db2932a3bb68ad8e14cf8dc3ac8005084979c242eb2bde499aa7c0	v2	25946	74420	66228	8192	64621	981	1	8	100	5	221	1
agnt55	265d900676218db1e98fa8c26e44770c6c68ca0e0a12240a1de29f532f5051ea	v2	31984	69855	69855	0	66945	1890	1	7	201	201	223	5
alpnd1	07d8b62b309f411b392827796a186c9a13ea5f5e2ffae33d0bf1a2effc9a3b67	v2	161605	390698	382506	8192	375909	1977	1	8	201	201	244	13
alpndh	6b91dc4fb38f95da54c812c352550e18e67c996ee58a1bb9b8c0030c1e8e012e	v2	65277	154744	146552	8192	140665	1107	1	8	100	28	228	13
apocaq	b1cc7691ab9a023cf698af0106ee0f7937a4ee601d9b00b1d9f2aa7277e4d822	v2	193992	328871	320679	8192	318972	846	1	8	102	34	45	101
aquest	cdfcf7e053a05f3af745334cbb541035187361c2136aeb93e65d2bc74a437963	v2	60219	115562	115562	0	112766	1134	1	7	256	7	107	8
bandq	c27f3c2084c3ba4d7f88a232a7869817b92e0772df983ab314a3d576bfd2c684	v2	52872	96889	88697	8192	83189	1050	1	8	100	24	224	2
biriq1	1c288d310919a89fd69d1eefb5285747cc93c2a910b4be976be1b9d0badd789f	v2	21986	45124	36932	8192	34967	993	1	8	100	11	220	0
bobfby	4a76bf80d3f2e91f7d294f8d3c7f1b9d7f9f6008d313c3069681a6310393e0f1	v2	36085	69469	61277	8192	55471	1107	1	8	100	51	207	11
bormn1	c01c1e4f2bc304e1fa6e6a8b865f30e8b4794d4138c1daa229deb5d0bfebb1ca	v2	30626	62694	62694	0	59870	2256	1	7	256	256	221	19
bormn2	ed082646cefde6544474c842e16707a5f79f5bdf46702764766c65e75eb5276a	v2	11561	22063	22063	0	19955	1563	1	7	256	254	9	2
botz	321546a9b80ceda1c8301ab57cadf645b2291a3315fa840e3bde619525c43c42	v2	8808	18100	18100	0	16575	975	1	7	100	3	221	1
brianq	2895ede15443703506debdbdee20a69fd008f40b68fc77eaa8b49ff7143729bb	v2	37056	65330	65330	0	62758	1062	1	7	100	23	231	0
btitan	9c05f415bbccd679b210b1be3aa086b03bd3b69093918b55d97e23b3620cea06	v2	16397	45154	45154	0	43485	1089	1	7	100	6	256	1
cardrv	cff88453ee0eea5e58c60e60ee22cb4fa1258b8c2c4dabc6ee0c6fa830c633d9	v2	24706	43598	35406	8192	33366	1014	1	8	100	17	221	0
cldest	b93fd701efbf8fde545da0ed13b17e2fc2cea576362101d3b344d742405c50cf	v2	792495	1296076	1287884	8192	1281722	1476	2	9	118	118	256	0
cocoen	d8cfeced69a2655c78d9907696b996d8fb5ae435385787ea03a3bb582b858dda	v2	96248	201357	193165	8192	189380	2058	1	8	224	224	236	2
corbmm	4047a28f4e5a1df7fae1a8ece0e487e4d386c22521755c08e05eb1a52b942ed5	v2	184477	672650	664458	8192	659971	1305	1	8	100	61	256	18
cpu21	2ffe6be8406cb38b8506f0627366d4856374ac2560761f0716ba093ff6b8b626	v2	17537	50954	50954	0	49081	1050	1	7	100	5	223	22
czherm	02e4de908b2e36c2ca72e7412b1a2c907d41a7b04c0a31e40355e41672518449	v2	68663	139146	139146	0	134905	2241	1	7	256	256	212	23
dashik	06e090de2775f2f1e6bf2305eba89338ecad2b21965ec88db972fdcfa6af603c	v2	168842	704097	704097	0	700841	1860	1	7	203	204	202	11
dateq1	bb6393e323d750f545b5142f7eecef00f707e5319b9fc3aa4591d4fd1c3d6936	v2	23844	46498	38306	8192	34478	2967	1	8	256	256	221	256
dateq2	ee3a1c492a931faeda5776f2d0c69672af0d61824abc6f21c12eab9f0d445227	v2	67362	207749	199557	8192	194054	1896	1	8	201	201	221	9
davesq	efbdbf88a52e9b48f903e063e6b1babf8e2d5c2d7327a21710a3badcb978a1c5	v2	401763	887567	879375	8192	871791	2046	1	8	201	201	239	41
demo1	d42c2bd26e70bb51217179188a156d934a95a034f20f7ad99ef5aef1a9bdd434	v2	92330	179981	172301	7680	170742	1482	1	8	100	100	232	62
demo2	235903059876172d14b9e4d36234668c815e355b21d2c98415e4cae791db5fbb	v2	142887	277598	269406	8192	266614	2715	3	10	222	233	227	223
demo3	63401672d727946ac392cddc705dc18352caf565d0315fac34f25e099fbd25a4	v3-shaped	245821	261314	253234	8080	250605	2552	2	6				
dgadgm	af9f9218c4075b4a8528123b6cebaa701192e24d6cc0189cf225e1eb572a3429	v2	12511	21823	21823	0	20079	981	1	7	100	5	222	0
dgagms	e024d948443797872f79188d5dd83cdf90feff25542dd0aae8cb0b21c61850dc	v2	25317	62464	54272	8192	52057	1257	1	10	100	98	221	0
discon	975ee434661dfbeed784b8704571e3a5f3dd1ac97f4883596ee634bd6de57a0f	v2	45162	134485	134485	0	131908	1392	1	7	100	36	225	103
dogsq	0e19845429dc987212f0857ce90492301edb650388669c765a96d1d9146c368d	v2	18100	35530	27338	8192	25074	1650	1	8	100	26	221	203
drjumm	a6db6fc13e275217f69157240920a15f968d46168c85fb72677c985ff50bae3c	v2	28573	54103	45911	8192	40164	1011	1	8	100	13	224	0
dsh256	b1882c092477e060b6cfdd3612cd1f3585f194d162c5cebc4cb6ceab0860c3ed	v2	27087	80359	72167	8192	69806	978	1	8	100	5	221	0
edesrt	b0377c6194e3ce5f6f285d21e94587ebac349da861c29d80134dceadbb873519	v2	74943	158475	158475	0	155405	1767	1	7	100	256	233	0
edward	933c615e56f84e702691e6bb00b5e657f89f896ca59c3ae853f1a473302e7089	v2	50146	175725	167533	8192	164997	1236	1	8	100	88	222	2
elfint	4cd3855110675a480a94697a0d03830f422c5c73f4271a99742a6d86a7242091	v2	39726	58124	58124	0	56500	996	1	7	100	11	221	0
enclos	6fd01ff4418db60723e8ddb5e8d109f649d634d78f1a15538d5c0c6a3bbb15c8	v2	549001	1042587	1042587	0	1032569	1380	1	7	110	107	222	21
epicft	1a2b25b2a6423f82663e76d22df21e956294bcef6eedf7d0cb6813815b0e3c9c	v2	1120643	5715903	5715903	0	5700211	2610	6	12	256	256	256	102
esales	c5b9cc647e19c2360fa5adf76c76c846ef66d9349e4b1f42922269a714b8e63a	v2	34286	139564	131372	8192	129460	990	1	8	100	8	222	0
escape	d660273ea2ad4856a1bccf9a7da7516e9cb28021d4a9d69409b0b5e76c1b1dbd	v2	38979	77062	77062	0	74091	1374	1	7	100	121	232	5
flagq	e7d16c6b2cfc29c979ede9d95b401025884c37367a7b36c9e3a8f71ee9493a1b	v2	20383	48606	48606	0	47642	156	1	7	23	4	19	6
goodmn	4c231638e4d5db886bb7a2d777b68ffee7c7ed4ad43d697327c7432263becaea	v2	90430	165948	165948	0	162282	2130	1	7	253	226	231	0
gourdb	8401e80cf9f53c0930bee7bdc2069deec799e913dd3526b5f8b7076386409992	v2	1014482	2801721	2793529	8192	2779688	3072	3	10	256	256	256	256
goutsq	229aac4c8c7524edec1e14f7f9b9fa22394a2964675d94cd1f1a5c5683e459d2	v2	18346	33622	25430	8192	23486	987	1	8	100	7	222	0
gowest	dba1ba3c4269f0fa8a716e3d4c6ec225b70cfb70027860f176a8e381fa4fd065	v2	116889	849951	849951	0	847803	990	1	7	100	4	224	2
grdead	c4939a51d352d3d01f254266b222cbc0df7b9054c8e34f13d939a40f11dc8a64	v2	47122	109637	109637	0	106264	1908	1	7	203	203	223	7
groza	42dc00d5a8da9865f6c86778faaa05f6cab45d60cac9e44c5560f2b85c0adabe	v2	48882	124953	117273	7680	115746	1515	4	11	113	16	250	126
gtamp1	2df7bab294a853c76b625a9ebf14ad9d5776e80ebadf3027b496c1fa250ae552	v2	467753	949507	949507	0	942274	3072	1	7	256	256	256	256
hangmn	f6d6b9204670ada0ba62de48192d7f31e61d7f0bd59b84e36df93cae9f644ee4	v2	8182	13161	13161	0	11631	972	1	7	100	3	221	0
hankqe	06efdd423c954003d346c8453bc0d45ed3f4bd58a20cf05c8e1ac0e4db677634	v2	182827	519350	511158	8192	504753	1158	1	8	100	29	238	19
harrys	2268f69b6765ab1d6be998623d28acf14a394cbe06ef1264b5310cf4a8223a93	v2	27555	51224	51224	0	48210	1617	1	7	102	205	230	2
herbao	31dcf18aa71f7d8bc1f8a8c8d4ae576d45f67d629b0fbf38cde8c4f6a917c2a1	v2	32640	265694	265694	0	263734	993	1	7	100	7	224	0
hitler	e203245906d3a10bca04331797ad54e0321c2ce964096fe65b35329f128d20d8	v2	210925	3943513	3935321	8192	3931742	2304	4	11	256	256	256	0
hlfdth	a3eb0d4989158de62071202093fc1006c6b0cb19f7fcc265b20275fbbb3191d8	v2	83557	240682	232490	8192	229571	2256	1	8	256	256	221	19
